Id;ZipCode;Name;Lat;Long
1;1011;Budapest I. kerület;47,5011;19,0469
2;1012;Budapest I. kerület;47,5;19,0833
3;1013;Budapest I. kerület;47,4961;19,0309
4;1014;Budapest I. kerület;47,5034;19,0349
5;1015;Budapest I. kerület;47,5;19,0833
6;1016;Budapest I. kerület;47,48;19,02
7;1021;Budapest II. kerület;47,496;19,0771
8;1022;Budapest II. kerület;47,5;19,0833
9;1023;Budapest II. kerület;47,521;19,0347
10;1024;Budapest II. kerület;47,507;19,0569
11;1025;Budapest II. kerület;47,403;19,0915
12;1026;Budapest II. kerület;47,5117;19,0131
13;1027;Budapest II. kerület;47,5083;19,0386
14;1028;Budapest II. kerület;47,5;19,0833
15;1029;Budapest II. kerület;47,5;19,0833
16;1031;Budapest III. kerület;47,5729;19,0538
17;1032;Budapest III. kerület;47,5;19,0833
18;1033;Budapest III. kerület;47,5;19,0833
19;1034;Budapest III. kerület;47,5;19,0833
20;1035;Budapest III. kerület;47,5;19,0833
21;1036;Budapest III. kerület;47,5328;19,0419
22;1037;Budapest III. kerület;47,5;19,0833
23;1038;Budapest III. kerület;47,5915;19,0486
24;1039;Budapest III. kerület;47,5562;19,0684
25;1041;Budapest IV. kerület;47,5;19,0833
26;1042;Budapest IV. kerület;47,5;19,0833
27;1043;Budapest IV. kerület;47,5;19,0833
28;1044;Budapest IV. kerület;47,5;19,0833
29;1045;Budapest IV. kerület;47,5;19,0833
30;1046;Budapest IV. kerület;47,5;19,0833
31;1047;Budapest IV. kerület;47,5;19,0833
32;1048;Budapest IV. kerület;47,5;19,0833
33;1051;Budapest V. kerület;47,4986;19,0499
34;1052;Budapest V. kerület;47,4968;19,0555
35;1053;Budapest V. kerület;47,4839;19,0597
36;1054;Budapest V. kerület;47,5068;19,0526
37;1055;Budapest V. kerület;47,5;19,0833
38;1056;Budapest V. kerület;47,4926;19,0516
39;1061;Budapest VI. kerület;47,4996;19,0574
40;1062;Budapest VI. kerület;47,525;19,0766
41;1063;Budapest VI. kerület;47,5102;19,0702
42;1064;Budapest VI. kerület;47,5062;19,069
43;1065;Budapest VI. kerület;47,4767;19,0851
44;1066;Budapest VI. kerület;47,5075;19,0589
45;1067;Budapest VI. kerület;47,5077;19,0602
46;1068;Budapest VI. kerület;47,5096;19,0717
47;1071;Budapest VII. kerület;47,5;19,0833
48;1072;Budapest VII. kerület;47,4997;19,0716
49;1073;Budapest VII. kerület;47,4992;19,0718
50;1074;Budapest VII. kerület;47,4768;19,071
51;1075;Budapest VII. kerület;47,4971;19,0566
52;1076;Budapest VII. kerület;47,5;19,0833
53;1077;Budapest VII. kerület;47,5007;19,0786
54;1078;Budapest VII. kerület;47,5034;19,0821
55;1081;Budapest VIII. kerület;47,4946;19,0776
56;1082;Budapest VIII. kerület;47,514;19,0788
57;1083;Budapest VIII. kerület;47,5;19,0833
58;1084;Budapest VIII. kerület;47,5;19,0833
59;1085;Budapest VIII. kerület;47,497;19,0756
60;1086;Budapest VIII. kerület;47,5;19,0833
61;1087;Budapest VIII. kerület;47,4996;19,0817
62;1088;Budapest VIII. kerület;47,4902;19,0905
63;1089;Budapest VIII. kerület;47,4935;19,0882
64;1091;Budapest IX. kerület;47,5;19,0833
65;1092;Budapest IX. kerület;47,5;19,0833
66;1093;Budapest IX. kerület;47,4919;19,0691
67;1094;Budapest IX. kerület;47,481;19,0724
68;1095;Budapest IX. kerület;47,4845;19,0492
69;1096;Budapest IX. kerület;47,5;19,0833
70;1097;Budapest IX. kerület;47,4892;19,074
71;1098;Budapest IX. kerület;47,5;19,0833
72;1101;Budapest X. kerület;47,5;19,0833
73;1102;Budapest X. kerület;47,5;19,0833
74;1103;Budapest X. kerület;47,5;19,0833
75;1104;Budapest X. kerület;47,5;19,0833
76;1105;Budapest X. kerület;47,5;19,0833
77;1106;Budapest X. kerület;47,5032;19,1367
78;1107;Budapest X. kerület;47,5;19,0833
79;1108;Budapest X. kerület;47,5;19,0833
80;1111;Budapest XI. kerület;47,482;19,0536
81;1112;Budapest XI. kerület;47,4734;19,0076
82;1113;Budapest XI. kerület;47,4748;19,037
83;1114;Budapest XI. kerület;47,5;19,0833
84;1115;Budapest XI. kerület;47,5;19,0833
85;1116;Budapest XI. kerület;47,444;19,041
86;1117;Budapest XI. kerület;47,501;19,038
87;1118;Budapest XI. kerület;47,4846;19,0334
88;1119;Budapest XI. kerület;47,4571;19,0402
89;1121;Budapest XII. kerület;47,5014;19,0078
90;1122;Budapest XII. kerület;47,5;19,0833
91;1123;Budapest XII. kerület;47,4942;19,024
92;1124;Budapest XII. kerület;47,5;19,0833
93;1125;Budapest XII. kerület;47,5;19,0833
94;1126;Budapest XII. kerület;47,5;19,0833
95;1131;Budapest XIII. kerület;47,5;19,0833
96;1132;Budapest XIII. kerület;47,4968;19,0776
97;1133;Budapest XIII. kerület;47,5223;19,0564
98;1134;Budapest XIII. kerület;47,5243;19,0647
99;1135;Budapest XIII. kerület;47,5354;19,0818
100;1136;Budapest XIII. kerület;47,5;19,0833
101;1137;Budapest XIII. kerület;47,5086;19,0624
102;1138;Budapest XIII. kerület;47,5239;19,0455
103;1139;Budapest XIII. kerület;47,5;19,0833
104;1141;Budapest XIV. kerület;47,4992;19,0688
105;1142;Budapest XIV. kerület;47,515;19,0936
106;1143;Budapest XIV. kerület;47,5139;19,1268
107;1144;Budapest XIV. kerület;47,5;19,0833
108;1145;Budapest XIV. kerület;47,5141;19,1038
109;1146;Budapest XIV. kerület;47,5067;19,0836
110;1147;Budapest XIV. kerület;47,5;19,0833
111;1148;Budapest XIV. kerület;47,504;19,1192
112;1149;Budapest XIV. kerület;47,5139;19,1268
113;1151;Budapest XV. kerület;47,5;19,0833
114;1152;Budapest XV. kerület;47,5481;19,1306
115;1153;Budapest XV. kerület;47,5;19,0833
116;1154;Budapest XV. kerület;47,5;19,0833
117;1155;Budapest XV. kerület;47,5;19,0833
118;1156;Budapest XV. kerület;47,5;19,0833
119;1157;Budapest XV. kerület;47,5;19,0833
120;1158;Budapest XV. kerület;47,5;19,0833
121;1161;Budapest XVI. kerület;47,5;19,0833
122;1162;Budapest XVI. kerület;47,5;19,0833
123;1163;Budapest XVI. kerület;47,5;19,0833
124;1164;Budapest XVI. kerület;47,5;19,0833
125;1165;Budapest XVI. kerület;47,5;19,0833
126;1171;Budapest XVII. kerület;47,5;19,0833
127;1172;Budapest XVII. kerület;47,5;19,0833
128;1173;Budapest XVII. kerület;47,5231;19,0554
129;1174;Budapest XVII. kerület;47,5;19,0833
130;1181;Budapest XVIII. kerület;47,5;19,0833
131;1182;Budapest XVIII. kerület;47,5;19,0833
132;1183;Budapest XVIII. kerület;47,5;19,0833
133;1184;Budapest XVIII. kerület;47,5;19,0833
134;1185;Budapest XVIII. kerület;47,5;19,0833
135;1186;Budapest XVIII. kerület;47,5;19,0833
136;1188;Budapest XVIII. kerület;47,5;19,0833
137;1191;Budapest XIX. kerület;47,5;19,0833
138;1192;Budapest XIX. kerület;47,5;19,0833
139;1193;Budapest XIX. kerület;47,5;19,0833
140;1194;Budapest XIX. kerület;47,5;19,0833
141;1195;Budapest XIX. kerület;47,5;19,0833
142;1196;Budapest XIX. kerület;47,5;19,0833
143;1201;Budapest XX. kerület;47,5;19,0833
144;1202;Budapest XX. kerület;47,5;19,0833
145;1203;Budapest XX. kerület;47,5;19,0833
146;1204;Budapest XX. kerület;47,5;19,0833
147;1205;Budapest XX. kerület;47,5;19,0833
148;1211;Budapest XXI. kerület;47,5;19,0833
149;1212;Budapest XXI. kerület;47,484;19,123
150;1213;Budapest XXI. kerület;47,5;19,0833
151;1214;Budapest XXI. kerület;47,5;19,0833
152;1215;Budapest XXI. kerület;47,5;19,0833
153;1221;Budapest XXII. kerület;47,5;19,0833
154;1222;Budapest XXII. kerület;47,5;19,0833
